,Day, decision-to-visit,favourite,satisfaction     ,most-appealing,fav-item,rating,brand,quality,recipe,whopper, ingredients,gender
,Once in a month,Menu options,Whopper,Food quality,Combo Meal,French fries,4,Burger King,Burger King,standardized recipe,4,Toppings,Male
,Never,Proximity,Whopper,Food quality,Discounts,French fries,3,McDonald's,McDonald's,customize recipe,4,Bun,Female
,Once in a month,Menu options,Hershey's Sundae Pie,Food quality,Combo Meal,Milkshakes,3,McDonald's,Burger King,customize recipe,4,Toppings,Male
,Once in a month,Pricing,Whopper,Food quality,Combo Meal,Softdrinks,4,Burger King,Burger King,standardized recipe,4,Meat,Female
,Twice in a month,Menu options,Whopper,Food quality,Combo Meal,French fries,4,Burger King,Burger King,standardized recipe,4,Toppings,Male
,Once in a month,Proximity,Whopper,Food quality,Discounts,French fries,4,Burger King,Burger King,customize recipe,3,Toppings,Female
,Once in a month,Pricing,Whopper,Service speed,Combo Meal,Softdrinks,4,McDonald's,McDonald's,standardized recipe,5,Meat,Male
,Never,Menu options,Whopper,Food quality,Combo Meal,French fries,3,Burger King,Burger King,customize recipe,4,Meat,Female
,Once in a month,Menu options,Crispy Chicken Sandwich,Food quality,Combo Meal,Softdrinks,4,McDonald's,Burger King,standardized recipe,3,Toppings,Female
,Twice in a month,Pricing,Crispy Chicken Sandwich,Food quality,Combo Meal,Softdrinks,3,Burger King,Burger King,customize recipe,3,Toppings,Female
,Never,Pricing,Whopper,Cleanliness,Limited time menu items,Softdrinks,2,McDonald's,McDonald's,standardized recipe,3,Meat,Male
,Never,Pricing,Crispy Chicken Sandwich,Food quality,Combo Meal,French fries,3,McDonald's,McDonald's,standardized recipe,1,Toppings,Male
,Once in a month,Proximity,Chicken Nuggets,Food quality,Combo Meal,French fries,3,Burger King,Burger King,customize recipe,3,Toppings,Female
,Once in a month,Pricing,Chicken Nuggets,Food quality,Combo Meal,Milkshakes,1,Burger King,Burger King,standardized recipe,1,Meat,Female
,Once in a month,Menu options,Chicken Nuggets,Food quality,Combo Meal,Milkshakes,3,McDonald's,McDonald's,standardized recipe,4,Toppings,Male
,Never,Menu options,Whopper,Service speed,Combo Meal,Milkshakes,1,McDonald's,McDonald's,standardized recipe,1,Bun,Male
,Twice in a week,Pricing,Crispy Chicken Sandwich,Food quality,Combo Meal,French fries,5,Burger King,Burger King,customize recipe,4,Meat,Female
,Twice in a week,Menu options,Bacon King,Food quality,Combo Meal,French fries,4,McDonald's,McDonald's,customize recipe,2,Toppings,Male
,Twice in a month,Proximity,Bacon King,Cleanliness,Limited time menu items,Milkshakes,5,McDonald's,McDonald's,customize recipe,3,Bun,Male
,Never,Menu options,Hershey's Sundae Pie,Food quality,Combo Meal,French fries,4,McDonald's,Burger King,standardized recipe,3,Toppings,Female
,Twice in a month,Proximity,Whopper,Service speed,Discounts,Softdrinks,4,Burger King,Burger King,standardized recipe,4,Bun,Male
,Once in a month,Menu options,Whopper,Food quality,Combo Meal,Milkshakes,1,McDonald's,McDonald's,customize recipe,2,Bun,Female
,Never,Menu options,Chicken Nuggets,Cleanliness,Discounts,Salad,3,Burger King,Burger King,customize recipe,3,Meat,Female
,Once in a month,Pricing,Chicken Nuggets,Service speed,Discounts,Milkshakes,2,McDonald's,McDonald's,customize recipe,2,Meat,Female
,Once in a month,Menu options,Whopper,Food quality,Combo Meal,French fries,4,McDonald's,McDonald's,customize recipe,4,Toppings,Male
,Twice in a week,Pricing,Whopper,Food quality,Combo Meal,French fries,4,Burger King,Burger King,standardized recipe,5,Toppings,Female
,Once in a month,Proximity,Whopper,Food quality,Combo Meal,French fries,4,Burger King,Burger King,customize recipe,4,Meat,Male
,Never,Menu options,Hershey's Sundae Pie,Cleanliness,Combo Meal,Softdrinks,4,Burger King,Burger King,standardized recipe,5,Meat,Male
,Twice in a month,Menu options,Bacon King,Food quality,Limited time menu items,Softdrinks,4,Burger King,McDonald's,standardized recipe,1,Toppings,Female
,Once in a month,Proximity,Crispy Chicken Sandwich,Food quality,Combo Meal,French fries,4,Burger King,Burger King,standardized recipe,4,Meat,Male
,Once in a month,Proximity,Chicken Nuggets,Food quality,Discounts,French fries,4,McDonald's,McDonald's,standardized recipe,3,Toppings,Male
